taluka_code,district_code,division_code,state_code,taluka_name,taluka_name_ll
4004,468,05,27,Achalpur,अचलपूर
4062,475,06,27,Aheri,अहेरी 
4228,481,04,27,Ahmadpur,अहमदपूर
4292,480,02,27,Ajra,आजरा
4254,496,02,27,Akkalkot,अक्कलकोट
3950,486,03,27,Akkalkuwa,अक्कलकुवा
3991,467,05,27,Akola,अकोला
4201,466,03,27,Akole,अकोले
3989,467,05,27,Akot,अकोट
3951,486,03,27,Akrani,अकर्नी
4177,491,01,27,Alibag,अलिबाग
3969,478,03,27,Amalner,अमळनेर
4129,479,04,27,Ambad,अंबड
4170,497,01,27,Ambarnath,अंबरनाथ
4188,490,02,27,Ambegaon,आंबेगाव
4225,470,06,27,Ambejogai,आंबेजोगाई
4047,476,06,27,Amgaon,आमगाव
4009,468,05,27,Amravati,अमरावती
NA,483,01,27,Andheri,अंधेरी
4003,468,05,27,Anjangaon Surji,अंजनगाव सुर्जी
4099,485,04,27,Ardhapur,अर्धापूर
4050,476,06,27,Arjuni Morgaon,अर्जुनी मोरगाव
4053,475,06,27,Armori,आरमोरी
4088,500,05,27,Arni,अर्नी
4017,498,06,27,Arvi,आर्वी
4215,470,06,27,Ashti,आष्टी
4015,498,06,27,Ashti,आष्टी
4300,493,02,27,Atpadi,आटपाडी
4113,477,04,27,Aundha (Nagnath),औंढा (नागनाथ)
4232,481,04,27,Ausa,औसा
4080,500,05,27,Babulgaon,बाबूलगाव
4128,479,04,27,Badnapur,बदनापूर
4145,487,03,27,Baglan,बागलण
3990,467,05,27,Balapur,बाळापूर
4074,473,06,27,Ballarpur,बल्लारपूर
4199,490,02,27,Baramati,बारामती
4246,496,02,27,Barshi,बार्शी
3994,467,05,27,Barshitakli,बार्शीटाकळी
4221,470,06,27,Beed,बीड
3971,478,03,27,Bhadgaon,भडगाव
4070,473,06,27,Bhadravati,भद्रावती 
4061,475,06,27,Bhamragad,भामरागड 
4039,471,06,27,Bhandara,भंडारा
4010,468,05,27,Bhatkuli,भातकुली
4166,497,01,27,Bhiwandi,भिवंडी
4036,484,06,27,Bhiwapur,भिवापूर
4102,485,04,27,Bhokar,भोकर
4125,479,04,27,Bhokardan,भोकरदन
4198,490,02,27,Bhor,भोर
4291,480,02,27,Bhudargad,भूदरगड
4237,488,04,27,Bhum,भूम
3965,478,03,27,Bhusawal,भुसावळ
4105,485,04,27,Biloli,बिलोली
3964,478,03,27,Bodvad,बोधवड
NA1,483,01,27,Borivali,बोरीवली
4067,473,06,27,Brahmapuri,ब्रम्हपुरी
3984,472,05,27,Buldana,बुलडाणा
4230,481,04,27,Chakur,चाकूर
3972,478,03,27,Chalisgaon,चाळीसगाव
4058,475,06,27,Chamorshi,चामोर्शी 
4294,480,02,27,Chandgad,चंदगड
4071,473,06,27,Chandrapur,चंद्रपूर 
4005,468,05,27,Chandurbazar,चांदूर बाजार
4013,468,05,27,Chandur Railway,चांदूर रेल्वे
4148,487,03,27,Chandvad,चांदवड
4137,469,04,27,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर
4002,468,05,27,Chikhaldara,चिखलदरा
3983,472,05,27,Chikhli,चिखली
4065,473,06,27,Chimur,चिमूर
4269,492,01,27,Chiplun,चिपळूण
3960,478,03,27,Chopda,चोपडा
4158,665,01,27,Dahanu,डहाणू
4267,492,01,27,Dapoli,दापोली
4083,500,05,27,Darwha,धारवा
4011,468,05,27,Daryapur,दर्यापूर
4195,490,02,27,Daund,दौंड
4110,485,04,27,Deglur,देगलुर
4144,487,03,27,Deola,देवळा
3985,472,05,27,Deolgaon Raja,देउळगाव राजा
4020,498,06,27,Deoli,देवळी
4234,481,04,27,Deoni,देवनी
4051,476,06,27,Deori,देवरी
4052,475,06,27,Desaiganj (Vadasa),देसाईगंज (वडसा)
4275,495,01,27,Devgad,देवगड
4014,468,05,27,Dhamangaon Railway,धामनगाव रेल्वे
4056,475,06,27,Dhanora,धानोरा 
3968,478,03,27,Dharangaon,धरणगाव
4240,488,04,27,Dharashiv,धाराशिव
4104,485,04,27,Dharmabad,धर्माबाद
4001,468,05,27,Dharni,धारणी
4223,470,06,27,Dharur,धारूर
3959,474,03,27,Dhule,धुळे
4084,500,05,27,Digras,दिग्रस
4149,487,03,27,Dindori,दिंडोरी
4282,495,01,27,Dodamarg,दोडामार्ग
3967,478,03,27,Erandol,एरंडोल
4060,475,06,27,Etapalli,एटापल्ली 
4057,475,06,27,Gadchiroli,गडचिरोली 
4293,480,02,27,Gadhinglaj,गडहिंग्लज
4288,480,02,27,Gaganbawada,गगनबावडा
4122,489,04,27,Gangakhed,गंगाखेड
4140,469,04,27,Gangapur,गंगापूर
4218,470,06,27,Georai,गेवराई
4130,479,04,27,Ghansawangi,घनसावंगी
4089,500,05,27,Ghatanji,घाटंजी
4046,476,06,27,Gondiya,गोंदिया
4078,473,06,27,Gondpipri,गोंडपिपरी
4045,476,06,27,Goregaon,गोरेगाव
4270,492,01,27,Guhagar,गुहाघर
4098,485,04,27,Hadgaon,हदगाव
4285,480,02,27,Hatkanangle,हातकणंगले
4193,490,02,27,Haveli,हवेली
4097,485,04,27,Himayatnagar,हिमायतनगर
4021,498,06,27,Hinganghat,हिंगणघाट
4033,484,06,27,Hingna,हिंगणा
4112,477,04,27,Hingoli,हिंगोली 
4153,487,03,27,Igatpuri,इगतपूरी
4200,490,02,27,Indapur,इंदापूर
4126,479,04,27,Jafrabad,जाफ्राबाद
3966,478,03,27,Jalgaon,जळगाव
3975,472,05,27,Jalgaon (Jamod),जळगाव (जामोद)
4229,481,04,27,Jalkot,जलकोट
4127,479,04,27,Jalna,जालना
4214,466,03,27,Jamkhed,जामखेड
3974,478,03,27,Jamner,जामनेर
4263,494,02,27,Jaoli,जावळी
4304,493,02,27,Jat,जत
4160,665,01,27,Jawhar,जव्हार
4117,489,04,27,Jintur,जिंतुर
4076,473,06,27,Jiwati,जिवती
4187,490,02,27,Junnar,जुन्नर
4298,493,02,27,Kadegaon,कडेगाव
4290,480,02,27,Kagal,कागल
4222,470,06,27,Kaij,केज
4081,500,05,27,Kalamb,कळंब
4239,488,04,27,Kalamb,कळंब
4025,484,06,27,Kalameshwar,कळमेश्वर 
4114,477,04,27,Kalamnuri,कळमनुरी
4143,487,03,27,Kalwan,कालवण
4168,497,01,27,Kalyan,कल्याण
4030,484,06,27,Kamptee,कामठी
4108,485,04,27,Kandhar,कंधार
4277,495,01,27,Kankavli,कणकवली
4133,469,04,27,Kannad,कन्नड
4265,494,02,27,Karad,कराड
3997,499,05,27,Karanja,कारंजा
4016,498,06,27,Karanja,कारंजा
4213,466,03,27,Karjat,कर्जत
4174,491,01,27,Karjat,कर्जत
4244,496,02,27,Karmala,करमाळा
4287,480,02,27,Karvir,करवीर
4024,484,06,27,Katol,काटोल
4303,493,02,27,Kavathemahankal,कवठेमहांकाळ
4090,500,05,27,Kelapur,केलापूर
4175,491,01,27,Khalapur,खालापूर
3981,472,05,27,Khamgaon,खामगाव
4299,493,02,27,Khanapur,खानापूर
4257,494,02,27,Khandala,खंडाळा
4260,494,02,27,Khatav,खटाव
4190,490,02,27,Khed,खेड
4268,492,01,27,Khed,खेड
4138,469,04,27,Khuldabad,खुलताबाद
4096,485,04,27,Kinwat,किनवत
4203,466,03,27,Kopargaon,कोपरगाव
4055,475,06,27,Korchi,कोरची
4261,494,02,27,Koregaon,कोरेगाव
4075,473,06,27,Korpana,कोरपना
4280,495,01,27,Kudal,कुडाळ
4035,484,06,27,Kuhi,कुही
4054,475,06,27,Kurkheda,कुरखेडा 
NA2,483,01,27,Kurla,कुर्ला
4043,471,06,27,Lakhandur,लाखंदूर
4041,471,06,27,Lakhani,लाखनी
4273,492,01,27,Lanja,लांजा
4226,481,04,27,Latur,लातूर
4107,485,04,27,Loha,लोहा
4242,488,04,27,Lohara,लोहारा
3987,472,05,27,Lonar,लोणार
4245,496,02,27,Madha,माढा
4255,494,02,27,Mahabaleshwar,महाबळेश्वर
4185,491,01,27,Mahad,महाड
4087,500,05,27,Mahagaon,महागाव
4095,485,04,27,Mahur,माहूर
4219,470,06,27,Majalgaon,माजलगाव
3995,499,05,27,Malegaon,मालेगाव
4146,487,03,27,Malegaon,मालेगाव
3979,472,05,27,Malkapur,मलकापूर
4250,496,02,27,Malshiras,माळशिरस
4278,495,01,27,Malwan,मालवण
4259,494,02,27,Man,माण
4266,492,01,27,Mandangad,मंडणगड
4252,496,02,27,Mangalvedhe,मंगळवेढे
4181,491,01,27,Mangaon,मानगाव
3996,499,05,27,Mangrulpir,मंगरूळपीर
3998,499,05,27,Manora,मानोरा
4132,479,04,27,Mantha,मंठा
4119,489,04,27,Manwath,मानवत
4092,500,05,27,Maregaon,मारेगाव
4029,484,06,27,Mauda,मौदा
4191,490,02,27,Mawal,मावळ
3982,472,05,27,Mehkar,मेहकर
4184,491,01,27,Mhasla,म्हासळा
4302,493,02,27,Miraj,मिरज
4038,471,06,27,Mohadi,मोहाडी
4248,496,02,27,Mohol,मोहोळ
4161,665,01,27,Mokhada,मोखाडा
4006,468,05,27,Morshi,मोर्शी
3980,472,05,27,Motala,मोताळा
4101,485,04,27,Mudkhed,मुदखेड
4109,485,04,27,Mukhed,मुखेड
3963,478,03,27,Muktainagar (Edlabad),मुक्ताईनगर(एदलाबाद)
4072,473,06,27,Mul,मुल
4059,475,06,27,Mulchera,मुलचेरा 
4192,490,02,27,Mulshi,मुळशी
