district_code,division_code,state_code,district_name,district_name_ll
466,3,27,Ahilyanagar,अहिल्यानगर
467,5,27,Akola,अकोला
468,5,27,Amravati,अमरावती
470,6,27,Beed,बीड
471,6,27,Bhandara,भंडारा
472,5,27,Buldhana,बुलढाणा
473,6,27,Chandrapur,चंद्रपूर
469,4,27,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर
488,4,27,Dharashiv,धाराशिव
474,3,27,Dhule,धुळे
475,6,27,Gadchiroli,गडचिरोली
476,6,27,Gondia,गोंदीया
477,4,27,Hingoli,हिंगोली
478,3,27,Jalgaon,जळगाव
479,4,27,Jalna,जालना
480,2,27,Kolhapur,कोल्हापूर
481,4,27,Latur,लातूर
482,1,27,Mumbai,मुंबई
483,1,27,Mumbai Suburban,मुंबई उपनगर
484,6,27,Nagpur,नागपूर
485,4,27,Nanded,नांदेड
486,3,27,Nandurbar,नंदूरबार
487,3,27,Nashik,नाशिक
665,1,27,Palghar,पालघर 
489,4,27,Parbhani,परभणी
490,2,27,Pune,पुणे
491,1,27,Raigad,रायगड
492,1,27,Ratnagiri,रत्नागिरी
493,2,27,Sangli,सांगली
494,2,27,Satara,सातारा
495,1,27,Sindhudurg,सिंधुदुर्ग
496,2,27,Solapur,सोलापूर
497,1,27,Thane,ठाणे
498,6,27,Wardha,वर्धा
499,5,27,Washim,वाशिम
500,5,27,Yavatmal,यवतमाळ
